service_id,date,exception_type
cal9-mon-tue-wed-thu-fri-sat-92,20230802,2
cal9-mon-tue-wed-thu-fri-sat-92,20230803,2
cal9-mon-tue-wed-thu-fri-sat-92,20230804,2
cal9-mon-tue-wed-thu-fri-sat-92,20230805,2
cal9-mon-tue-wed-thu-fri-sat-92,20230807,2
cal9-mon-tue-wed-thu-fri-sat-92,20230808,2
cal9-mon-tue-wed-thu-fri-sat-92,20230809,2
cal9-mon-tue-wed-thu-fri-sat-92,20230810,2
cal9-mon-tue-wed-thu-fri-sat-92,20230811,2
cal9-mon-tue-wed-thu-fri-sat-92,20230812,2
cal9-mon-tue-wed-thu-fri-sat-92,20230814,2
cal9-mon-tue-wed-thu-fri-sat-92,20230815,2
cal9-mon-tue-wed-thu-fri-sat-92,20230816,2
cal9-mon-tue-wed-thu-fri-sat-92,20230817,2
cal9-mon-tue-wed-thu-fri-sat-92,20230818,2
cal9-mon-tue-wed-thu-fri-sat-92,20230819,2
cal9-mon-tue-wed-thu-fri-sat-92,20230821,2
cal9-mon-tue-wed-thu-fri-sat-92,20230822,2
cal9-mon-tue-wed-thu-fri-sat-92,20230823,2
cal9-mon-tue-wed-thu-fri-sat-92,20230824,2
cal9-mon-tue-wed-thu-fri-sat-92,20230825,2
cal9-mon-tue-wed-thu-fri-sat-92,20230826,2
cal9-mon-tue-wed-thu-fri-sat-92,20230828,2
cal9-mon-tue-wed-thu-fri-sat-92,20230829,2
cal9-mon-tue-wed-thu-fri-sat-92,20230830,2
cal9-mon-tue-wed-thu-fri-sat-92,20230831,2
cal9-mon-tue-wed-thu-fri-sat-92,20230901,2
cal9-mon-tue-wed-thu-fri-sat-92,20230902,2
cal9-mon-tue-wed-thu-fri-sat-92,20231023,2
cal9-mon-tue-wed-thu-fri-sat-92,20231024,2
cal9-mon-tue-wed-thu-fri-sat-92,20231025,2
cal9-mon-tue-wed-thu-fri-sat-92,20231026,2
cal9-mon-tue-wed-thu-fri-sat-92,20231027,2
cal9-mon-tue-wed-thu-fri-sat-92,20231028,2
cal9-mon-tue-wed-thu-fri-sat-92,20231030,2
cal9-mon-tue-wed-thu-fri-sat-92,20231031,2
cal9-mon-tue-wed-thu-fri-sat-92,20231101,2
cal9-mon-tue-wed-thu-fri-sat-92,20231102,2
cal9-mon-tue-wed-thu-fri-sat-92,20231103,2
cal9-mon-tue-wed-thu-fri-sat-92,20231104,2
cal9-mon-tue-wed-thu-fri-sat-92,20231111,2
